title,genres,imdbId,tmdbId
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862
Jumanji (1995),Adventure|Children|Fantasy,113497,8844
Grumpier Old Men (1995),Comedy|Romance,113228,15602
Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357
Father of the Bride Part II (1995),Comedy,113041,11862
Heat (1995),Action|Crime|Thriller,113277,949
Sabrina (1995),Comedy|Romance,114319,11860
Tom and Huck (1995),Adventure|Children,112302,45325
Sudden Death (1995),Action,114576,9091
GoldenEye (1995),Action|Adventure|Thriller,113189,710
"American President, The (1995)",Comedy|Drama|Romance,112346,9087
Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110
Balto (1995),Adventure|Animation|Children,112453,21032
Nixon (1995),Drama,113987,10858
Cutthroat Island (1995),Action|Adventure|Romance,112760,1408
Casino (1995),Crime|Drama,112641,524
Sense and Sensibility (1995),Drama|Romance,114388,4584
Four Rooms (1995),Comedy,113101,5
Ace Ventura: When Nature Calls (1995),Comedy,112281,9273
Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517
Get Shorty (1995),Comedy|Crime|Thriller,113161,8012
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710
Assassins (1995),Action|Crime|Thriller,112401,9691
Powder (1995),Drama|Sci-Fi,114168,12665
Leaving Las Vegas (1995),Drama|Romance,113627,451
Othello (1995),Drama,114057,16420
Now and Then (1995),Children|Drama,114011,9263
Persuasion (1995),Drama|Romance,114117,17015
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557
Dangerous Minds (1995),Drama,112792,9909
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63
Babe (1995),Children|Drama,112431,9598
Dead Man Walking (1995),Crime|Drama,112818,687
It Takes Two (1995),Children|Comedy,113442,33689
Clueless (1995),Comedy|Romance,112697,9603
"Cry, the Beloved Country (1995)",Drama,112749,34615
Richard III (1995),Drama|War,114279,31174
Dead Presidents (1995),Action|Crime|Drama,112819,11443
Restoration (1995),Drama,114272,35196
Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312
To Die For (1995),Comedy|Drama|Thriller,114681,577
How to Make an American Quilt (1995),Drama|Romance,113347,11861
Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530
When Night Is Falling (1995),Drama|Romance,114916,8391
"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629
Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448
Lamerica (1994),Adventure|Drama,110299,49133
"Big Green, The (1995)",Children|Comedy,112499,26441
Georgia (1995),Drama,113158,97406
Home for the Holidays (1995),Drama,113321,9089
"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010
"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359
Eye for an Eye (1996),Drama|Thriller,116260,17182
Mr. Holland's Opus (1995),Drama,113862,2054
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607
Two if by Sea (1996),Comedy|Romance,118002,19760
Bio-Dome (1996),Comedy,115683,9536
Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525
French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482
Friday (1995),Comedy,113118,10634
From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755
Fair Game (1995),Action,113010,11859
Kicking and Screaming (1995),Comedy|Drama,113537,28387
"Misérables, Les (1995)",Drama|War,113828,48750
Bed of Roses (1996),Drama|Romance,115644,20927
Big Bully (1996),Comedy|Drama,115676,36929
Screamers (1995),Action|Sci-Fi|Thriller,114367,9102
Nico Icon (1995),Documentary,113973,124626
"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526
"Juror, The (1996)",Drama|Thriller,116731,9623
"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785
Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400
Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880
Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599
Angels and Insects (1995),Drama|Romance,112365,8447
White Squall (1996),Action|Adventure|Drama,118158,10534
Dunston Checks In (1996),Children|Comedy,116151,17414
Black Sheep (1996),Comedy,115697,13997
Nick of Time (1995),Action|Thriller,113972,2086
Mary Reilly (1996),Drama|Horror|Thriller,117002,9095
Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825,12158
Beautiful Girls (1996),Comedy|Drama|Romance,115639,9283
Broken Arrow (1996),Action|Adventure|Thriller,115759,9208
In the Bleak Midwinter (1995),Comedy|Drama,113403,40154
"Hate (Haine, La) (1995)",Crime|Drama,113247,406
Heidi Fleiss: Hollywood Madam (1995),Documentary,113283,63076
City Hall (1996),Drama|Thriller,115907,11062
Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685
Mr. Wrong (1996),Comedy,117102,47475
Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040,2045
Happy Gilmore (1996),Comedy,116483,9614
"Bridges of Madison County, The (1995)",Drama|Romance,112579,688
Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,110251,11907
Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110,10874
Catwalk (1996),Documentary,112646,89333
Braveheart (1995),Action|Drama|War,112573,197
Taxi Driver (1976),Crime|Drama|Thriller,75314,103
Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,113326,33542
Before and After (1996),Drama|Mystery,115645,43566
Anne Frank Remembered (1995),Documentary,112373,51352
"Young Poisoner's Handbook, The (1995)",Crime|Drama,115033,16934
If Lucy Fell (1996),Comedy|Romance,116606,10324
"Steal Big, Steal Little (1995)",Comedy,114536,78406
"Boys of St. Vincent, The (1992)",Drama,106473,32119
Boomerang (1992),Comedy|Romance,103859,11066
Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,109424,11104
Flirting With Disaster (1996),Comedy,116324,2074
"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,110647,27793
Jupiter's Wife (1994),Documentary,110217,290157
Pie in the Sky (1996),Comedy|Romance,114131,110972
Jade (1995),Thriller,113451,11863
Down Periscope (1996),Comedy,116130,9101
Man of the Year (1995),Documentary,113756,5757
Up Close and Personal (1996),Drama|Romance,118055,9302
"Birdcage, The (1996)",Comedy,115685,11000
"Brothers McMullen, The (1995)",Comedy,112585,16388
Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,112442,9737
"Amazing Panda Adventure, The (1995)",Adventure|Children,112342,30765
"Basketball Diaries, The (1995)",Drama,112461,10474
"Awfully Big Adventure, An (1995)",Drama,112427,22279
Amateur (1994),Crime|Drama|Thriller,109093,30157
Apollo 13 (1995),Adventure|Drama|IMAX,112384,568
Rob Roy (1995),Action|Drama|Romance|War,114287,11780
"Addiction, The (1995)",Drama|Horror,112288,34996
Batman Forever (1995),Action|Adventure|Comedy|Crime,112462,414
Beauty of the Day (Belle de jour) (1967),Drama,61395,649
Beyond Rangoon (1995),Adventure|Drama|War,112495,1873
Blue in the Face (1995),Comedy|Drama,112541,5894
Canadian Bacon (1995),Comedy|War,109370,1775
Casper (1995),Adventure|Children,112642,8839
Clockers (1995),Crime|Drama|Mystery,112688,20649
Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715,10329
Crimson Tide (1995),Drama|Thriller|War,112740,8963
Crumb (1994),Documentary,109508,26564
Desperado (1995),Action|Romance|Western,112851,8068
Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,112857,8512
Die Hard: With a Vengeance (1995),Action|Crime|Thriller,112864,1572
"Doom Generation, The (1995)",Comedy|Crime|Drama,112887,13552
First Knight (1995),Action|Drama|Romance,113071,6520
Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,113114,9073
Hackers (1995),Action|Adventure|Crime|Thriller,113243,10428
Jeffrey (1995),Comedy|Drama,113464,17447
Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,113481,9886
Judge Dredd (1995),Action|Crime|Sci-Fi,113492,9482
Jury Duty (1995),Comedy,113500,19326
Kids (1995),Drama,113540,9344
Living in Oblivion (1995),Comedy,113677,9071
Lord of Illusions (1995),Horror,113690,8973
Love & Human Remains (1993),Comedy|Drama,107447,15730
Mad Love (1995),Drama|Romance,113729,47608
Mallrats (1995),Comedy|Romance,113749,2293
Mighty Morphin Power Rangers: The Movie (1995),Action|Children,113820,9070
Mute Witness (1994),Comedy|Horror|Thriller,110604,48787
Nadja (1994),Drama,110620,34574
"Net, The (1995)",Action|Crime|Thriller,113957,1642
Nine Months (1995),Comedy|Romance,113986,11472
Party Girl (1995),Comedy,114095,36196
"Prophecy, The (1995)",Fantasy|Horror|Mystery,114194,11980
Reckless (1995),Comedy|Fantasy,114241,58372
Safe (1995),Thriller,114323,32646
"Scarlet Letter, The (1995)",Drama|Romance,114345,10533
Showgirls (1995),Drama,114436,10802
Smoke (1995),Comedy|Drama,114478,10149
Something to Talk About (1995),Comedy|Drama|Romance,114496,18402
Species (1995),Horror|Sci-Fi,114508,9348
Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,58450,5967
Three Wishes (1995),Drama|Fantasy,114663,47939
Total Eclipse (1995),Drama|Romance,114702,36834
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,114682,9090
Under Siege 2: Dark Territory (1995),Action,114781,3512
Unstrung Heroes (1995),Comedy|Drama,114798,52856
Unzipped (1995),Documentary,114805,77350
"Walk in the Clouds, A (1995)",Drama|Romance,114887,9560
Waterworld (1995),Action|Adventure|Sci-Fi,114898,9804
White Man's Burden (1995),Drama,114928,31611
Wild Bill (1995),Western,114938,65796
"Browning Version, The (1994)",Drama,109340,49805
Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,112602,26258
Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,111579,50797
Before the Rain (Pred dozhdot) (1994),Drama|War,110882,19155
Before Sunrise (1995),Drama|Romance,112471,76
Billy Madison (1995),Comedy,112508,11017
"Babysitter, The (1995)",Drama|Thriller,112438,37141
Boys on the Side (1995),Comedy|Drama,112571,9382
"Cure, The (1995)",Drama,112757,6715
Castle Freak (1995),Horror,112643,18256
Circle of Friends (1995),Drama|Romance,112679,22625
Clerks (1994),Comedy,109445,2292
Don Juan DeMarco (1995),Comedy|Drama|Romance,112883,1909
Disclosure (1994),Drama|Thriller,109635,8984
Drop Zone (1994),Action|Thriller,109676,4954
Destiny Turns on the Radio (1995),Comedy,112854,62488
Death and the Maiden (1994),Drama|Thriller,109579,10531
Dolores Claiborne (1995),Drama|Thriller,109642,11929
Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,109686,8467
Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,111797,10451
Exotica (1994),Drama,109759,20156
Exit to Eden (1994),Comedy,109758,18395
Ed Wood (1994),Comedy|Drama,109707,522
French Kiss (1995),Action|Comedy|Romance,113117,397
Forget Paris (1995),Comedy|Romance,113097,10525
Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,113028,27985
"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,113198,15789
Hideaway (1995),Thriller,113303,27303
Fluke (1995),Children|Drama,113089,21183
Farinelli: il castrato (1994),Drama|Musical,109771,10954
Gordy (1995),Children|Comedy|Fantasy,113199,47867
Hoop Dreams (1994),Documentary,110057,14275
Heavenly Creatures (1994),Crime|Drama,110005,1024
Houseguest (1994),Comedy,110066,17207
Immortal Beloved (1994),Drama|Romance,110116,13701
Heavyweights (Heavy Weights) (1995),Children|Comedy,110006,14819
"Hunted, The (1995)",Action,113360,32631
I.Q. (1994),Comedy|Romance,110099,11777
Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,110148,628
Jefferson in Paris (1995),Drama,113463,87729
"Jerky Boys, The (1995)",Comedy,110189,18713
Junior (1994),Comedy|Sci-Fi,110216,6280
Just Cause (1995),Mystery|Thriller,113501,9061
"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,113538,37108
Kiss of Death (1995),Crime|Drama|Thriller,113552,6071
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,76759,11
Little Women (1994),Drama,110367,9587
"Little Princess, A (1995)",Children|Drama,113670,19101
Ladybird Ladybird (1994),Drama,110296,49980
Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,103994,18183
Legends of the Fall (1994),Drama|Romance|War|Western,110322,4476
Major Payne (1995),Comedy,110443,11008
My Crazy Life (Mi vida loca) (1993),Drama,107566,32325
Love Affair (1994),Drama|Romance,110391,43742
Losing Isaiah (1995),Drama,113691,28313
"Madness of King George, The (1994)",Comedy|Drama,110428,11318
Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,109836,3036
Man of the House (1995),Comedy,113755,40490
Mixed Nuts (1994),Comedy,110538,24070
Milk Money (1994),Comedy|Romance,110516,8986
Miracle on 34th Street (1994),Drama,110527,10510
Miami Rhapsody (1995),Comedy,113808,17402
My Family (1995),Drama,113896,38722
Murder in the First (1995),Drama|Thriller,113870,8438
Nobody's Fool (1994),Comedy|Drama|Romance,110684,11593
Nell (1994),Drama,110638,1945
New Jersey Drive (1995),Crime|Drama,113967,39310
New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,117169,109560
Beyond Bedlam (1993),Drama|Horror,106402,56428
Nina Takes a Lover (1994),Comedy|Romance,110671,131957
Natural Born Killers (1994),Action|Crime|Thriller,110632,241
Only You (1994),Comedy|Romance,110737,9058
Once Were Warriors (1994),Crime|Drama,110729,527
Poison Ivy II (1996),Drama|Thriller,114151,18220
Outbreak (1995),Action|Drama|Sci-Fi|Thriller,114069,6950
